id;user_id;product_id;is_anonymous;content;rating;created_at;updated_at
00000000-0000-0000-0000-000000000501;00000000-0000-0000-0000-000000000001;00000000-0000-0000-0000-000000000301;FALSE;'Great product, highly recommended!';5;'2024-04-23 08:00:00';'2024-04-23 08:00:00'
00000000-0000-0000-0000-000000000502;00000000-0000-0000-0000-000000000002;00000000-0000-0000-0000-000000000302;TRUE;'Nice item, fast delivery.';4;'2024-04-23 08:15:00';'2024-04-23 08:00:00'
00000000-0000-0000-0000-000000000503;00000000-0000-0000-0000-000000000003;00000000-0000-0000-0000-000000000303;FALSE;'Not as expected, disappointed.';2;'2024-04-23 08:30:00';'2024-04-23 08:00:00'
00000000-0000-0000-0000-000000000504;00000000-0000-0000-0000-000000000004;00000000-0000-0000-0000-000000000304;TRUE;'Good quality, fair price.';5;'2024-04-23 08:45:00';'2024-04-23 08:00:00'
00000000-0000-0000-0000-000000000505;00000000-0000-0000-0000-000000000005;00000000-0000-0000-0000-000000000305;FALSE;'Average product, nothing special.';3;'2024-04-23 09:00:00';'2024-04-23 08:00:00'
00000000-0000-0000-0000-000000000506;00000000-0000-0000-0000-000000000006;00000000-0000-0000-0000-000000000306;TRUE;'Poor quality, avoid.';1;'2024-04-23 09:15:00';'2024-04-23 08:00:00'
00000000-0000-0000-0000-000000000507;00000000-0000-0000-0000-000000000007;00000000-0000-0000-0000-000000000307;FALSE;'Excellent service, will buy again.';5;'2024-04-23 09:30:00';'2024-04-23 08:00:00'
00000000-0000-0000-0000-000000000508;00000000-0000-0000-0000-000000000008;00000000-0000-0000-0000-000000000308;TRUE;'Decent product, worth the price.';4;'2024-04-23 09:45:00';'2024-04-23 08:00:00'
00000000-0000-0000-0000-000000000509;00000000-0000-0000-0000-000000000009;00000000-0000-0000-0000-000000000309;FALSE;'Terrible experience, never again.';1;'2024-04-23 10:00:00';'2024-04-23 08:00:00'
00000000-0000-0000-0000-000000000510;00000000-0000-0000-0000-000000000010;00000000-0000-0000-0000-000000000310;TRUE;'Impressive quality, exceeded expectations.';5;'2024-04-23 10:15:00';'2024-04-23 08:00:00'
00000000-0000-0000-0000-000000000511;00000000-0000-0000-0000-000000000001;00000000-0000-0000-0000-000000000311;FALSE;'Fantastic product, changed my life!';5;'2024-04-24 08:00:00';'2024-04-24 08:00:00'
00000000-0000-0000-0000-000000000512;00000000-0000-0000-0000-000000000002;00000000-0000-0000-0000-000000000312;TRUE;'Quick delivery, item as described.';4;'2024-04-24 08:15:00';'2024-04-24 08:00:00'
00000000-0000-0000-0000-000000000513;00000000-0000-0000-0000-000000000003;00000000-0000-0000-0000-000000000313;FALSE;'Disappointed with the quality, not worth the price.';2;'2024-04-24 08:30:00';'2024-04-24 08:00:00'
00000000-0000-0000-0000-000000000514;00000000-0000-0000-0000-000000000004;00000000-0000-0000-0000-000000000314;TRUE;'Great value for money, highly recommended.';5;'2024-04-24 08:45:00';'2024-04-24 08:00:00'
00000000-0000-0000-0000-000000000515;00000000-0000-0000-0000-000000000005;00000000-0000-0000-0000-000000000315;FALSE;'Mediocre product, expected better.';3;'2024-04-24 09:00:00';'2024-04-24 08:00:00'
00000000-0000-0000-0000-000000000516;00000000-0000-0000-0000-000000000006;00000000-0000-0000-0000-000000000316;TRUE;'Poor customer service, wouldn't recommend.';1;'2024-04-24 09:15:00';'2024-04-24 08:00:00'
00000000-0000-0000-0000-000000000517;00000000-0000-0000-0000-000000000007;00000000-0000-0000-0000-000000000317;FALSE;'Absolutely thrilled with my purchase, thank you!';5;'2024-04-24 09:30:00';'2024-04-24 08:00:00'
00000000-0000-0000-0000-000000000518;00000000-0000-0000-0000-000000000008;00000000-0000-0000-0000-000000000318;TRUE;'Satisfied with the product, would buy again.';4;'2024-04-24 09:45:00';'2024-04-24 08:00:00'
00000000-0000-0000-0000-000000000519;00000000-0000-0000-0000-000000000009;00000000-0000-0000-0000-000000000319;FALSE;'Worst purchase ever, regret buying it.';1;'2024-04-24 10:00:00';'2024-04-24 08:00:00'
00000000-0000-0000-0000-000000000520;00000000-0000-0000-0000-000000000010;00000000-0000-0000-0000-000000000320;TRUE;'Exceeded my expectations, excellent product!';5;'2024-04-24 10:15:00';'2024-04-24 08:00:00'
00000000-0000-0000-0000-000000000521;00000000-0000-0000-0000-000000000001;00000000-0000-0000-0000-000000000312;TRUE;'Impressive quality, exceeded expectations!';5;'2024-04-24 08:30:00';'2024-04-24 08:30:00'
00000000-0000-0000-0000-000000000522;00000000-0000-0000-0000-000000000002;00000000-0000-0000-0000-000000000311;FALSE;'Excellent performance, highly recommended!';5;'2024-04-24 08:45:00';'2024-04-24 08:45:00'
00000000-0000-0000-0000-000000000523;00000000-0000-0000-0000-000000000003;00000000-0000-0000-0000-000000000313;TRUE;'Good value for money, would buy again.';4;'2024-04-24 09:00:00';'2024-04-24 09:00:00'
00000000-0000-0000-0000-000000000524;00000000-0000-0000-0000-000000000004;00000000-0000-0000-0000-000000000314;FALSE;'Not as expected, quality was average.';2;'2024-04-24 09:15:00';'2024-04-24 09:15:00'
00000000-0000-0000-0000-000000000525;00000000-0000-0000-0000-000000000005;00000000-0000-0000-0000-000000000315;TRUE;'Satisfied with the purchase, would recommend.';4;'2024-04-24 09:30:00';'2024-04-24 09:30:00'
00000000-0000-0000-0000-000000000526;00000000-0000-0000-0000-000000000006;00000000-0000-0000-0000-000000000316;FALSE;'Poor quality, would not recommend.';1;'2024-04-24 09:45:00';'2024-04-24 09:45:00'
00000000-0000-0000-0000-000000000527;00000000-0000-0000-0000-000000000007;00000000-0000-0000-0000-000000000317;TRUE;'Decent product, meets expectations.';3;'2024-04-24 10:00:00';'2024-04-24 10:00:00'
